bgc_id,compound_name,formula,formula_source,mass,organism,subclass,C,H,O,z_star_alphabet_plus_mass,tier,runtime_s,cycle_lo,cycle_hi
BGC0000104,mycophenolic acid,C17H20O6,mibig,320.12598836,Penicillium brevicompactum,unknown,17,20,6,-1,OUT_OF_RANGE,0.0,0,0
BGC0000120,patulin,C7H6O4,mibig,154.026608672,Penicillium expansum,NR,7,6,4,0,UNREACHABLE,0.007943868637084961,1,4
BGC0000121,Pestheic Acid,C18H15ClO8,smiles_recovery,nan,Pestalotiopsis fici,unknown,18,15,8,-1,NON_CHO (Cl),0.0,0,0
BGC0000129,pyripyropene A,C31H37NO10,mibig,583.2417463839998,Aspergillus fumigatus Af293,unknown,31,37,10,-1,NON_CHO (N),0.0,0,0
BGC0000134,radicicol,C18H17ClO6,mibig,364.071365944,Pochonia chlamydosporia,unknown,18,17,6,-1,NON_CHO (Cl),0.0,0,0
BGC0000146,solanapyrone D,C18H22O4,mibig,302.15180918399994,Alternaria solani,unknown,18,22,4,-1,OUT_OF_RANGE,0.0,0,0
BGC0000152,sterigmatocystin,C18H12O6,mibig,324.063388104,Aspergillus nidulans,unknown,18,12,6,-1,OUT_OF_RANGE,0.0,0,0
BGC0000154,stipitatic acid,C8H6O5,mibig,182.021523292,Talaromyces stipitatus ATCC 10500,unknown,8,6,5,0,UNREACHABLE,0.06842899322509766,2,5
BGC0000155,T-toxin,C41H68O13,mibig,768.4659922360001,Bipolaris maydis,unknown,41,68,13,-1,OUT_OF_RANGE,0.0,0,0
BGC0000156,TAN-1612,C21H18O9,mibig,414.0950821559999,Aspergillus niger,unknown,21,18,9,-1,OUT_OF_RANGE,0.0,0,0
BGC0000160,terreic acid,C7H6O4,mibig,154.026608672,Aspergillus terreus NIH2624,unknown,7,6,4,0,UNREACHABLE,0.007901191711425781,1,4
BGC0000161,isoterrein,C8H10O3,mibig,154.06299418,Aspergillus terreus NIH2624,unknown,8,10,3,3,SILVER_2_3,0.08958005905151367,2,5
BGC0000168,viridicatumtoxin,C30H31NO10,mibig,565.1947961919999,Penicillium aethiopicum,unknown,30,31,10,-1,NON_CHO (N),0.0,0,0
BGC0000170,yanuthone D,C28H38O8,mibig,502.25666817599983,Aspergillus niger ATCC 1015,unknown,28,38,8,-1,OUT_OF_RANGE,0.0,0,0
BGC0000684,asperthecin,C15H10O8,mibig,318.03756727999996,Aspergillus nidulans FGSC A4,unknown,15,10,8,-1,TIMEOUT,30.0,5,8
BGC0000959,aspyridone A,C19H23NO4,mibig,329.162708216,Aspergillus nidulans FGSC A4,unknown,19,23,4,-1,NON_CHO (N),0.0,0,0
BGC0000968,chaetoglobosin A,C34H40N2O5,mibig,556.29372238,Penicillium expansum,unknown,34,40,5,-1,NON_CHO (N),0.0,0,0
BGC0000977,cyclopiazonic acid,C20H20N2O3,mibig,336.1473924999999,Aspergillus oryzae,unknown,20,20,3,-1,NON_CHO (N),0.0,0,0
BGC0000983,cytochalasin E,C28H33NO7,mibig,495.2257023959999,Aspergillus clavatus NRRL 1,NR,28,33,7,-1,NON_CHO (N),0.0,0,0
BGC0000992,fusaridione A,C27H31NO4,mibig,433.225308472,Fusarium heterosporum,unknown,27,31,4,-1,NON_CHO (N),0.0,0,0
BGC0001026,NG-391,C22H27NO7,mibig,417.178752204,Metarhizium anisopliae,unknown,22,27,7,-1,NON_CHO (N),0.0,0,0
BGC0001030,ochratoxin A,C20H18ClNO6,mibig,403.0822649759999,Penicillium nordicum,unknown,20,18,6,-1,"NON_CHO (Cl,N)",0.0,0,0
BGC0001035,pneumocandin B0,C50H80N8O17,mibig,1064.5641431000001,Glarea lozoyensis ATCC 20868,NR,50,80,17,-1,NON_CHO (N),0.0,0,0
BGC0001037,pseurotin,C22H25NO8,mibig,431.15801675999995,Aspergillus fumigatus Af293,NR,22,25,8,-1,NON_CHO (N),0.0,0,0
BGC0001049,tenellin,C21H23NO5,mibig,369.157622836,Beauveria bassiana,NR,21,23,5,-1,NON_CHO (N),0.0,0,0
BGC0001057,zearalenone,C18H22O5,mibig,318.1467238039999,Fusarium graminearum,unknown,18,22,5,-1,OUT_OF_RANGE,0.0,0,0
BGC0001067,Fumagillin,C26H34O7,mibig,458.2305,Aspergillus fumigatus Af293,NR,26,34,7,-1,OUT_OF_RANGE,0.0,0,0
BGC0001118,endocrocin,C16H10O7,mibig,314.04265265999993,Aspergillus fumigatus Af293,NR,16,10,7,-1,TIMEOUT,30.0,6,9
BGC0001121,orsellinic acid,C8H8O4,mibig,168.042258736,Aspergillus nidulans FGSC A4,NR,8,8,4,1,GOLD_unique,0.06970405578613281,2,5
BGC0001122,dihydroisoflavipucine,C12H17NO4,mibig,239.115758024,Aspergillus terreus NIH2624,unknown,12,17,4,-1,NON_CHO (N),0.0,0,0
BGC0001124,pyranonigrin E,C18H21NO4,mibig,315.147058152,Aspergillus niger ATCC 1015,unknown,18,21,4,-1,NON_CHO (N),0.0,0,0
BGC0001136,desmethylbassianin,C22H23NO5,mibig,381.157622836,Beauveria bassiana,NR,22,23,5,-1,NON_CHO (N),0.0,0,0
BGC0001141,4-epi-15-epi-brefeldin A,C16H24O4,mibig,280.167459248,Penicillium brefeldianum,NR,16,24,4,2065,DISCARD_>30,25.17853093147278,6,9
BGC0001143,azanigerone A,C19H22O7,mibig,362.1365530439999,Aspergillus niger ATCC 1015,unknown,19,22,7,-1,OUT_OF_RANGE,0.0,0,0
BGC0001144,neosartoricin B,C24H26O8,mibig,442.4640000029,Trichophyton tonsurans CBS 112818,unknown,24,26,8,-1,OUT_OF_RANGE,0.0,0,0
BGC0001158,bikaverin,C20H14O8,mibig,382.0688674079999,Botrytis cinerea,unknown,20,14,8,-1,OUT_OF_RANGE,0.0,0,0
BGC0001187,xenolozoyenone,C17H23NO4,mibig,305.162708216,Glarea lozoyensis,NR,17,23,4,-1,NON_CHO (N),0.0,0,0
BGC0001190,fusaric acid,C10H13NO2,mibig,179.094628656,Fusarium verticillioides 7600,unknown,10,13,2,-1,NON_CHO (N),0.0,0,0
BGC0001205,communesin A,C28H32N4O2,mibig,456.252526264,Penicillium expansum,unknown,28,32,2,-1,NON_CHO (N),0.0,0,0
BGC0001218,fumosorinone,C29H35NO5,mibig,477.25152321999997,Cordyceps fumosorosea,unknown,29,35,5,-1,NON_CHO (N),0.0,0,0
BGC0001219,shanorellin,C9H10O4,mibig,182.0579088,Chaetomium globosum CBS 148.51,unknown,9,10,4,0,UNREACHABLE,0.0753011703491211,2,5
BGC0001242,oxyjavanicin,C15H14O7,mibig,306.073952788,Fusarium fujikuroi,unknown,15,14,7,-1,TIMEOUT,30.0,5,8
BGC0001243,botryenalol,C17H26O4,mibig,294.183109312,Botrytis cinerea,unknown,17,26,4,-1,OUT_OF_RANGE,0.0,0,0
BGC0001244,(-)-Mellein,C10H10O3,mibig,178.06299418,Parastagonospora nodorum,unknown,10,10,3,0,UNREACHABLE,0.675839900970459,3,6
BGC0001245,lasiodiplodin,C17H24O4,mibig,292.167459248,Lasiodiplodia theobromae,unknown,17,24,4,-1,OUT_OF_RANGE,0.0,0,0
BGC0001246,trans-resorcylide,C16H18O5,mibig,290.115423676,Sarocladium zeae,unknown,16,18,5,-1,TIMEOUT,30.0,6,9
BGC0001247,cercosporin,C29H26O10,mibig,534.1525970319999,Cercospora nicotianae,unknown,29,26,10,-1,OUT_OF_RANGE,0.0,0,0
BGC0001252,UNII-YC2Q1O94PT,C19H30O6,mibig,354.2042386799999,Alternaria alternata,unknown,19,30,6,-1,OUT_OF_RANGE,0.0,0,0
BGC0001253,ACT-Toxin I,C26H39NO10,mibig,525.2573964479998,Alternaria alternata,unknown,26,39,10,-1,NON_CHO (N),0.0,0,0
BGC0001254,ACT-Toxin II,C26H39NO9,mibig,509.26248182799986,Alternaria alternata,unknown,26,39,9,-1,NON_CHO (N),0.0,0,0
BGC0001255,equisetin,C22H31NO4,mibig,373.225308472,Fusarium heterosporum,unknown,22,31,4,-1,NON_CHO (N),0.0,0,0
BGC0001257,"1,3,6,8-tetrahydroxynaphthalene",C10H8O4,mibig,192.042258736,Nodulisporium sp. ATCC74245,unknown,10,8,4,0,UNREACHABLE,0.5884931087493896,3,6
BGC0001258,"1,3,6,8-tetrahydroxynaphthalene",C10H8O4,mibig,192.042259,Glarea lozoyensis,unknown,10,8,4,0,UNREACHABLE,0.5964562892913818,3,6
BGC0001259,elsinochrome A,C30H24O10,mibig,544.1369469679998,Elsinoe fawcettii,unknown,30,24,10,-1,OUT_OF_RANGE,0.0,0,0
BGC0001262,AK-toxin I,C23H27NO6,mibig,413.18383758399995,Alternaria alternata,unknown,23,27,6,-1,NON_CHO (N),0.0,0,0
BGC0001264,betaenone A,C21H34O5,mibig,366.2406241879999,Phoma betae,unknown,21,34,5,-1,OUT_OF_RANGE,0.0,0,0
BGC0001265,melanin,C18H10N2O4,mibig,318.06405679999995,Bipolaris oryzae,unknown,18,10,4,-1,NON_CHO (N),0.0,0,0
BGC0001266,grayanic acid,C23H26O7,mibig,414.1678531719999,Cladonia grayi,unknown,23,26,7,-1,OUT_OF_RANGE,0.0,0,0
BGC0001268,fusarin C,C22H29NO5,mibig,387.20457302799997,Fusarium fujikuroi,unknown,22,29,5,-1,NON_CHO (N),0.0,0,0
BGC0001269,gibberellin A3,C19H22O6,mibig,346.1416384239999,Sphaceloma manihoticola,unknown,19,22,6,-1,OUT_OF_RANGE,0.0,0,0
BGC0001270,gibberellin A7,C19H22O5,mibig,330.1467238039999,Fusarium fujikuroi,unknown,19,22,5,-1,OUT_OF_RANGE,0.0,0,0
BGC0001271,emericellin,C25H28O5,mibig,408.1936739959999,Aspergillus nidulans FGSC A4,unknown,25,28,5,-1,OUT_OF_RANGE,0.0,0,0
BGC0001272,elsinochrome B,C30H26O10,mibig,546.1525970319999,Elsinoe fawcettii,unknown,30,26,10,-1,OUT_OF_RANGE,0.0,0,0
BGC0001273,asperlactone,C9H12O4,mibig,184.073558864,Aspergillus ochraceus,unknown,9,12,4,9,SILVER_6_10,0.08675098419189453,2,5
BGC0001275,6-methylsalicyclic acid,C8H8O3,mibig,152.047344116,Glarea lozoyensis,unknown,8,8,3,1,GOLD_unique,0.07434892654418945,2,5
BGC0001276,6-methylsalicyclic acid,C8H8O3,mibig,152.047344116,Aspergillus terreus,unknown,8,8,3,1,GOLD_unique,0.07392406463623047,2,5
BGC0001280,betaenone C,C21H34O5,mibig,366.2406241879999,Phoma betae,unknown,21,34,5,-1,OUT_OF_RANGE,0.0,0,0
BGC0001281,ustilagic acid,C36H64O18,mibig,784.4092652080002,Ustilago maydis 521,unknown,36,64,18,-1,OUT_OF_RANGE,0.0,0,0
BGC0001304,aflavarin,C24H22O9,mibig,454.1263822839998,Aspergillus flavus NRRL3357,unknown,24,22,9,-1,OUT_OF_RANGE,0.0,0,0
BGC0001305,fujikurin B,C12H18O5,mibig,242.115423676,Fusarium fujikuroi IMI 58289,unknown,12,18,5,196,DISCARD_>30,5.7186150550842285,4,7
BGC0001309,usnic acid,C18H16O7,mibig,344.0896028519999,Cladonia uncialis,unknown,18,16,7,-1,OUT_OF_RANGE,0.0,0,0
BGC0001338,citrinin,C13H14O5,mibig,250.084123548,Monascus ruber,unknown,13,14,5,2,SILVER_2_3,5.2333948612213135,4,7
BGC0001339,squalestatin S1,C35H46O13,mibig,674.293841532,Phoma sp. MF5453,unknown,35,46,13,-1,OUT_OF_RANGE,0.0,0,0
BGC0001340,byssochlamic acid,C18H20O6,mibig,332.12598835999995,Byssochlamys fulva,unknown,18,20,6,-1,OUT_OF_RANGE,0.0,0,0
BGC0001358,leucinostatin A,C62H111N11O13,mibig,1217.8362826119996,Purpureocillium lilacinum,unknown,62,111,13,-1,NON_CHO (N),0.0,0,0
BGC0001360,mycophenolic acid,C12H14Br2N2OS,mibig,391.91935826799994,Penicillium roqueforti FM164,unknown,12,14,1,-1,"NON_CHO (Br,N,S)",0.0,0,0
BGC0001373,sordarin,C27H40O8,mibig,492.27231823999983,Sordaria araneosa,unknown,27,40,8,-1,OUT_OF_RANGE,0.0,0,0
BGC0001385,byssochlamic acid,C18H20O6,mibig,332.12598835999995,Byssochlamys fulva,unknown,18,20,6,-1,OUT_OF_RANGE,0.0,0,0
BGC0001390,LL-Z1272beta,C23H32O3,mibig,356.23514488399996,Stachybotrys bisbyi,unknown,23,32,3,-1,OUT_OF_RANGE,0.0,0,0
BGC0001400,citreoviridin,C23H30O6,mibig,402.2042386799999,Aspergillus terreus NIH2624,unknown,23,30,6,-1,OUT_OF_RANGE,0.0,0,0
BGC0001401,melleolide F,C23H30O6,mibig,402.2042386799999,Armillaria mellea,unknown,23,30,6,-1,OUT_OF_RANGE,0.0,0,0
BGC0001403,trypacidin,C18H16O7,mibig,344.0896028519999,Aspergillus fumigatus Af293,unknown,18,16,7,-1,OUT_OF_RANGE,0.0,0,0
BGC0001404,sorbicillin,C14H16O3,mibig,232.109944372,Penicillium rubens Wisconsin 54-1255,unknown,14,16,3,-1,TIMEOUT,30.0,5,8
BGC0001405,chaetoviridin E,C23H25ClO6,mibig,432.1339662,Chaetomium globosum CBS 148.51,unknown,23,25,6,-1,NON_CHO (Cl),0.0,0,0
BGC0001445,leporin B,C22H25NO3,mibig,351.18344366,Aspergillus flavus NRRL3357,NR,22,25,3,-1,NON_CHO (N),0.0,0,0
BGC0001446,asparasone A,C18H14O8,mibig,358.06886740799996,Aspergillus flavus NRRL3357,NR,18,14,8,-1,OUT_OF_RANGE,0.0,0,0
BGC0001449,ucs1025a,C20H25NO5,mibig,359.1732728999999,Thermothelomyces thermophilus,NR,20,25,5,-1,NON_CHO (N),0.0,0,0
BGC0001450,macrophorin A,C22H32O4,mibig,360.23005950399994,Penicillium terrestre,NR,22,32,4,-1,OUT_OF_RANGE,0.0,0,0
BGC0001466,wortmanamide,C21H37NO4,mibig,367.27225866399993,Talaromyces wortmannii,unknown,21,37,4,-1,NON_CHO (N),0.0,0,0
BGC0001489,6-hydroxymellein,C10H10O4,mibig,194.0579088,Cladonia uncialis subsp. uncialis,unknown,10,10,4,0,UNREACHABLE,0.6019470691680908,3,6
BGC0001508,andrastin A,C28H38O7,mibig,486.2617535559999,Penicillium roqueforti,unknown,28,38,7,-1,OUT_OF_RANGE,0.0,0,0
BGC0001541,cercosporin,C29H26O10,mibig,534.1525970319999,Cercospora beticola,unknown,29,26,10,-1,OUT_OF_RANGE,0.0,0,0
BGC0001542,cercosporin,C29H26O10,mibig,534.1525970319998,Cercospora zeina,unknown,29,26,10,-1,OUT_OF_RANGE,0.0,0,0
BGC0001544,chlorflavonin,C18H15ClO7,mibig,378.05063049999995,Aspergillus campestris IBT 28561,unknown,18,15,7,-1,NON_CHO (Cl),0.0,0,0
BGC0001557,cornexistin,C16H20O6,mibig,308.12598835999995,Paecilomyces divaricatus,unknown,16,20,6,-1,TIMEOUT,30.0,6,9
BGC0001563,curvupallide-B,C14H17NO5,mibig,279.11067264400003,Cochliobolus pallescens,unknown,14,17,5,-1,NON_CHO (N),0.0,0,0
BGC0001578,duclauxin,C29H22O11,mibig,546.1162115239999,Talaromyces stipitatus ATCC 10500,unknown,29,22,11,-1,OUT_OF_RANGE,0.0,0,0
BGC0001600,fusarielin H,C25H38O3,mibig,386.28209507599996,Fusarium graminearum,unknown,25,38,3,-1,OUT_OF_RANGE,0.0,0,0
BGC0001606,gibepyrone-A,C10H12O2,mibig,164.083729624,Fusarium fujikuroi IMI 58289,unknown,10,12,2,1,GOLD_unique,0.7211630344390869,3,6
BGC0001616,himeic acid A,C22H29NO8,mibig,435.1893168879999,Aspergillus japonicus,unknown,22,29,8,-1,NON_CHO (N),0.0,0,0
BGC0001626,isoindolinone,C8H7NO,mibig,133.052763844,Stachybotrys chlorohalonata IBT 40285,unknown,8,7,1,-1,NON_CHO (N),0.0,0,0
BGC0001677,mycophenolic acid,C17H20O6,mibig,320.12598836,Penicillium roqueforti,unknown,17,20,6,-1,OUT_OF_RANGE,0.0,0,0
BGC0001708,novofumigatonin,C25H32O8,mibig,460.2097179839999,Aspergillus novofumigatus IBT 16806,unknown,25,32,8,-1,OUT_OF_RANGE,0.0,0,0
BGC0001720,oosporein,C14H10O8,mibig,306.03756727999996,Beauveria bassiana ARSEF 2860,unknown,14,10,8,-1,TIMEOUT,30.0,5,8
BGC0001722,aspernidine A,C24H33NO4,mibig,399.240959,Aspergillus nidulans FGSC A4,unknown,24,33,4,-1,NON_CHO (N),0.0,0,0
BGC0001729,paraherquonin,C24H28O7,mibig,428.1835032359999,Penicillium brasilianum,unknown,24,28,7,-1,OUT_OF_RANGE,0.0,0,0
BGC0001738,phomasetin,C25H35NO4,mibig,413.2566086,Pyrenochaetopsis sp.,unknown,25,35,4,-1,NON_CHO (N),0.0,0,0
BGC0001741,phyllostictine A,C17H27NO5,mibig,325.188922964,Phyllosticta cirsii,unknown,17,27,5,-1,NON_CHO (N),0.0,0,0
BGC0001749,epipyriculol,C14H16O4,mibig,248.104858992,Pyricularia oryzae 70-15,unknown,14,16,4,-1,TIMEOUT,30.0,5,8
BGC0001793,swainsonine,C8H15NO3,mibig,173.10519334,Chaetothyriaceae sp.,unknown,8,15,3,-1,NON_CHO (N),0.0,0,0
BGC0001794,swainsonine,C8H15NO3,mibig,173.10519334,Alternaria oxytropis,unknown,8,15,3,-1,NON_CHO (N),0.0,0,0
BGC0001827,xenovulene A,C22H30O4,mibig,358.21440943999994,Sarocladium sp. 'schorii',unknown,22,30,4,-1,OUT_OF_RANGE,0.0,0,0
BGC0001857,burnettramic acid A,C41H71NO12,mibig,769.4976267120003,Aspergillus sp. CLMG-2019a,unknown,41,71,12,-1,NON_CHO (N),0.0,0,0
BGC0001865,elsinochrome C,C30H28O10,mibig,548.1682470959998,Parastagonospora nodorum SN15,unknown,30,28,10,-1,OUT_OF_RANGE,0.0,0,0
BGC0001866,viriditoxin,C34H30O14,mibig,662.163556,Byssochlamys spectabilis,unknown,34,30,14,-1,OUT_OF_RANGE,0.0,0,0
BGC0001874,α-cyclopiazonic acid,C20H20N2O3,mibig,336.384,Aspergillus flavus,unknown,20,20,3,-1,NON_CHO (N),0.0,0,0
BGC0001881,pyrichalasin H,C31H41NO6,mibig,523.293388,Pyricularia grisea,NR,31,41,6,-1,NON_CHO (N),0.0,0,0
BGC0001886,Secalonic acid B,C32H30O14,mibig,638.1636,Claviceps purpurea 20.1,unknown,32,30,14,-1,OUT_OF_RANGE,0.0,0,0
BGC0001899,abscisic acid,C15H20O4,mibig,264.136159,Leptosphaeria maculans JN3,unknown,15,20,4,-1,TIMEOUT,30.0,5,8
BGC0001906,"2-acetyl-1,3,6,8-tetrahydroxynaphthalene",C12H10O5,mibig,234.05,Daldinia eschscholzii IFB-TL01,unknown,12,10,5,0,UNREACHABLE,5.070627212524414,4,7
BGC0001909,strobilurin A,C16H18O3,smiles_recovery,nan,Strobilurus tenacellus,unknown,16,18,3,7,SILVER_6_10,24.664973258972168,6,9
BGC0001913,phomoidride,C31H38O10,mibig,570.246497,fungal sp. ATCC 74256,unknown,31,38,10,-1,OUT_OF_RANGE,0.0,0,0
BGC0001923,ascochlorin,C23H29ClO4,mibig,404.175437,Acremonium egyptiacum,unknown,23,29,4,-1,NON_CHO (Cl),0.0,0,0
BGC0001926,chrodrimanin B,C25H30O7,mibig,442.199153,Talaromyces verruculosus,unknown,25,30,7,-1,OUT_OF_RANGE,0.0,0,0
BGC0001966,BII-rafflesfungin,C44H75N9O17,mibig,1001.528,Phoma sp.,unknown,44,75,17,-1,NON_CHO (N),0.0,0,0
BGC0001982,pyrichalasin H,C31H41NO6,mibig,523.293388,Pyricularia grisea,unknown,31,41,6,-1,NON_CHO (N),0.0,0,0
BGC0001988,neosartorin,C34H32O15,mibig,680.17412,Aspergillus novofumigatus IBT 16806,unknown,34,32,15,-1,OUT_OF_RANGE,0.0,0,0
BGC0002030,viriditoxin,C34H30O14,mibig,662.163556,Byssochlamys spectabilis,unknown,34,30,14,-1,OUT_OF_RANGE,0.0,0,0
BGC0002035,ilicicolin H,C27H31NO4,mibig,433.225308,Neonectria sp. DH2,unknown,27,31,4,-1,NON_CHO (N),0.0,0,0
BGC0002062,agnestin A,C15H12O6,smiles_recovery,nan,Paecilomyces divaricatus,unknown,15,12,6,-1,TIMEOUT,30.0,5,8
BGC0002063,cryptosporioptide B,C38H34O18,mibig,779.1823,Cryptosporiopsis sp. 8999,NR,38,34,18,-1,OUT_OF_RANGE,0.0,0,0
BGC0002065,strobilurin A,C16H18O3,smiles_recovery,nan,Strobilurus tenacellus,unknown,16,18,3,7,SILVER_6_10,24.668099880218506,6,9
BGC0002066,harzianopyridone,C14H19NO5,smiles_recovery,nan,Trichoderma harzianum,NR,14,19,5,-1,NON_CHO (N),0.0,0,0
BGC0002067,atpenin B,C15H23NO5,smiles_recovery,nan,Penicillium oxalicum 114-2,NR,15,23,5,-1,NON_CHO (N),0.0,0,0
BGC0002093,ilicicolin H,C27H31NO4,smiles_recovery,nan,Talaromyces variabilis,unknown,27,31,4,-1,NON_CHO (N),0.0,0,0
BGC0002139,burnettiene A,C32H42O7,mibig,537.286,Aspergillus burnettii FRR 5400,NR,32,42,7,-1,OUT_OF_RANGE,0.0,0,0
BGC0002154,"1,3,5,8-tetrahydroxynapthalene",C10H8O4,smiles_recovery,nan,Pyricularia oryzae 70-15,unknown,10,8,4,0,UNREACHABLE,0.588543176651001,3,6
BGC0002155,nectriapyrone C,C11H14O4,smiles_recovery,nan,Pyricularia oryzae 70-15,unknown,11,14,4,25,BRONZE_11_30,0.7239351272583008,3,6
BGC0002158,tenuazonic acid,C10H15NO3,smiles_recovery,nan,Pyricularia oryzae 70-15,unknown,10,15,3,-1,NON_CHO (N),0.0,0,0
BGC0002161,scytalone,C10H10O4,smiles_recovery,nan,Pestalotiopsis fici W106-1,unknown,10,10,4,0,UNREACHABLE,0.5968530178070068,3,6
BGC0002165,betaenone C,C21H34O5,smiles_recovery,nan,Parastagonospora nodorum SN15,unknown,21,34,5,-1,OUT_OF_RANGE,0.0,0,0
BGC0002168,decumbenone a,C16H24O4,smiles_recovery,nan,Aspergillus stellatus,unknown,16,24,4,2065,DISCARD_>30,24.136019945144653,6,9
BGC0002169,acurin A,C21H27NO5,smiles_recovery,nan,Aspergillus aculeatus ATCC 16872,unknown,21,27,5,-1,NON_CHO (N),0.0,0,0
BGC0002170,4-methyl-5-dimethyltetradecahexaene-β-ketolactone,C22H28O3,smiles_recovery,nan,Aspergillus stellatus,unknown,22,28,3,-1,OUT_OF_RANGE,0.0,0,0
BGC0002171,pyrophen,C16H17NO4,smiles_recovery,nan,Aspergillus niger ATCC 1015,unknown,16,17,4,-1,NON_CHO (N),0.0,0,0
BGC0002175,YWA1,C14H12O6,smiles_recovery,nan,Aspergillus oryzae RIB40,unknown,14,12,6,-1,TIMEOUT,30.0,5,8
