bgc_id,compound,formula,subclass,frac_arom,H_per_C,nC,reach,forward
BGC0002270,swainsonine,None,hybrid/non-PKS (N),0.0,1.88,8,skip_element,-
BGC0002275,pyrophen,None,hybrid/non-PKS (N),0.69,1.06,16,skip_element,-
BGC0002281,sambutoxin,None,hybrid/non-PKS (N),0.39,1.39,28,skip_element,-
BGC0002304,varicidin A,None,hybrid/non-PKS (N),0.0,1.38,21,skip_element,-
BGC0002375,cladosporiumin I,None,hybrid/non-PKS (N),0.0,1.31,13,skip_element,-
BGC0002427,subglutinol A,None,PR/mixed,0.19,1.41,27,too_large,inconclusive-budget
BGC0002428,FDDP-D,C29H42O7,PR/mixed,0.17,1.45,29,too_large,inconclusive-budget
BGC0002429,higginsianin B,C27H40O4,PR/mixed,0.19,1.48,27,too_large,inconclusive-budget
BGC0002483,usnic acid,None,PR/mixed,0.33,0.89,18,unreachable,sound-structural-gap
BGC0002502,fumonisin B3,None,hybrid/non-PKS (N),0.0,1.74,34,skip_element,-
BGC0002505,xenoacremone A,None,hybrid/non-PKS (N),0.21,1.21,29,skip_element,-
BGC0002507,sporandol,None,NR-like (aromatic),0.71,0.93,28,too_large,inconclusive-budget
BGC0002511,biruloquinone,None,NR-like (aromatic),0.88,0.59,17,unreachable,formula-infeasible
BGC0002513,6-methylcristazarin,C14H14O6,NR-like (aromatic),0.43,1.0,14,unreachable,sound-structural-gap
BGC0002515,solanapyrone A,None,PR/mixed,0.28,1.22,18,unreachable,sound-structural-gap
BGC0002516,prephenalenone,None,NR-like (aromatic),0.71,0.86,14,unreachable,sound-structural-gap
BGC0002525,fusarubin,None,NR-like (aromatic),0.4,0.93,15,unreachable,formula-infeasible
BGC0002537,emeridone F,None,PR/mixed,0.0,1.12,25,too_large,inconclusive-budget
BGC0002538,chaetolivacine A,None,hybrid/non-PKS (N),0.21,1.21,29,skip_element,-
BGC0002546,cytoglobosin X,None,hybrid/non-PKS (N),0.25,1.31,32,skip_element,-
BGC0002555,emerimicin V,None,hybrid/non-PKS (N),0.15,1.56,78,skip_element,-
BGC0002592,geodin,None,PR/mixed,0.35,0.71,17,skip_element,-
BGC0002593,lecanoric acid,None,NR-like (aromatic),0.75,0.88,16,unreachable,sound-structural-gap
BGC0002594,orcinol,None,NR-like (aromatic),0.86,1.14,7,unreachable,sound-structural-gap
BGC0002595,orsellinic acid,None,NR-like (aromatic),0.75,1.0,8,reachable,recovered
BGC0002596,lecanoric acid,None,NR-like (aromatic),0.75,0.88,16,unreachable,sound-structural-gap
BGC0002598,ochratoxin A,None,hybrid/non-PKS (N),0.6,0.9,20,skip_element,-
