bgc_id,name,C,H,O,base_status,generability_class,forward_verdict,formula_feasible,in_range,bucket_size_approx,recovered_program
BGC0001400,citreoviridin,23,30,6,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0001401,melleolide F,23,30,6,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0001403,trypacidin,18,16,7,unreachable,coverage-limited-structural,sound-structural-gap,True,True,0,
BGC0001404,sorbicillin,14,16,3,unreachable,coverage-limited-structural,sound-structural-gap,True,True,36,
BGC0001446,asparasone A,18,14,8,unreachable,coverage-limited-formula,formula-infeasible,False,True,0,
BGC0001450,macrophorin A,22,32,4,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0001489,6-hydroxymellein,10,10,4,reachable,,recovered,True,True,1,"Program(starter='acetyl', cycles=(Cycle(reduction=<ReductionState.KR: 'kr'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>), Cycle(reduction=<ReductionState.KETO: 'keto'>, c_methyl=False, extender=<Extender.MALONYL: 'malonyl'>)), release=<Release.DIHYDROISOCOUMARIN: 'dihydroisocoumarin'>)"
BGC0001508,andrastin A,28,38,7,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0001541,cercosporin,29,26,10,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0001542,cercosporin,29,26,10,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0001557,cornexistin,16,20,6,unreachable,coverage-limited-structural,sound-structural-gap,True,True,1470,
BGC0001578,duclauxin,29,22,11,too_large,coverage-limited-formula,formula-infeasible,False,False,0,
BGC0001600,fusarielin H,25,38,3,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0001606,gibepyrone-A,10,12,2,unreachable,coverage-limited-structural,sound-structural-gap,True,True,5,
BGC0001677,mycophenolic acid,17,20,6,unreachable,coverage-limited-structural,sound-structural-gap,True,True,1256,
BGC0001708,novofumigatonin,25,32,8,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0001720,oosporein,14,10,8,unreachable,coverage-limited-formula,formula-infeasible,False,True,0,
BGC0001729,paraherquonin,24,28,7,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0001749,epipyriculol,14,16,4,unreachable,coverage-limited-structural,sound-structural-gap,True,True,83,
BGC0001827,xenovulene A,22,30,4,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0001865,elsinochrome C,30,28,10,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0001866,viriditoxin,34,30,14,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0001886,Secalonic acid B,32,30,14,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0001899,abscisic acid,15,20,4,unreachable,coverage-limited-structural,sound-structural-gap,True,True,2708,
BGC0001906,"2-acetyl-1,3,6,8-tetrahydroxynaphthalene",12,10,5,unreachable,coverage-limited-structural,sound-structural-gap,True,True,0,
BGC0001909,strobilurin A,16,18,3,unreachable,coverage-limited-structural,sound-structural-gap,True,True,49,
BGC0001913,phomoidride,31,38,10,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
BGC0001926,chrodrimanin B,25,30,7,too_large,coverage-limited-structural,inconclusive-budget,True,False,0,
