bgc_id,name,baseline,status_rescan,curve,classes,n_classes
BGC0001270,gibberellin A7,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0001273,asperlactone,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0001280,betaenone C,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0001281,ustilagic acid,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0001305,fujikurin B,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0001338,citrinin,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0001340,byssochlamic acid,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0001373,sordarin,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0001385,byssochlamic acid,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0001400,citreoviridin,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0001450,macrophorin A,too_large,budget,CHO,non_aromatic_ring_rearrangement,1
BGC0001508,andrastin A,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0001557,cornexistin,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0001600,fusarielin H,too_large,budget,CHO,non_aromatic_ring_rearrangement,1
BGC0001606,gibepyrone-A,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0001708,novofumigatonin,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0001729,paraherquonin,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0001827,xenovulene A,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0001899,abscisic acid,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0001913,phomoidride,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002139,burnettiene A,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002155,nectriapyrone C,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002165,betaenone C,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002168,decumbenone a,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002170,4-methyl-5-dimethyltetradecahexaene-β-ketolactone,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002180,(+)-asperlin,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002185,gregatin A,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002191,prolipyrone B,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002194,epipyrone A,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002197,terrestric acid,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002200,aurovertin E,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002206,harziphilone,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002222,zopfiellin,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002223,scytalidin,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002224,zopfiellin,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002233,trichoxide,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002235,"12,13-dihydroxymagnaporthepyrone",unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002249,phaeospelide A,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002255,lijiquinone,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002258,shimalactone A,too_large,budget,CHO,non_aromatic_ring_rearrangement,1
BGC0002262,sporothriolide,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002263,spiromarmycin,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002266,calidoustene A,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002427,subglutinol A,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002515,solanapyrone A,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002537,emeridone F,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002603,chevalone E,too_large,budget,CHO,non_aromatic_ring_rearrangement,1
BGC0002604,sartorypyrone A,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002614,subglutinol A,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002731,nanangenine A,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002745,verrucosidin,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002758,Azanidulone,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002759,brevione E,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002845,Sartorypyrone A,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002852,"3,6-dialkyl-α-pyrone",unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002877,Cordypyrone A,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002953,11'-O-desmethyl fendlerol,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002970,xylariolide D,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0002984,Brefeldin A,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0003006,Rasfonin,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0003028,Terrestric acid,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0003113,multiformin A,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0003118,Multiforisin H,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0003120,Minutellin A,too_large,unreachable,CHO,non_aromatic_ring_rearrangement,1
BGC0000155,T-toxin,too_large,unreachable,CHO,other_topology,1
BGC0002971,Fugralin A,unreachable,unreachable,CHO,other_topology,1
BGC0003032,soppiline A,too_large,unreachable,CHO,other_topology,1
BGC0000011,Sterigmatocystin,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0000013,alternariol,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0000045,dehydrocurvularin,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0000076,hypothemycin,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0000077,hypothemycin,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0000104,mycophenolic acid,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0000152,sterigmatocystin,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0001057,zearalenone,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0001245,lasiodiplodin,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0001246,trans-resorcylide,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0001247,cercosporin,too_large,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0001259,elsinochrome A,too_large,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0001266,grayanic acid,too_large,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0001272,elsinochrome B,too_large,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0001304,aflavarin,too_large,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0001309,usnic acid,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0001339,squalestatin S1,too_large,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0001401,melleolide F,too_large,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0001403,trypacidin,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0001541,cercosporin,too_large,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0001542,cercosporin,too_large,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0001677,mycophenolic acid,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0001865,elsinochrome C,too_large,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0001866,viriditoxin,too_large,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0001886,Secalonic acid B,too_large,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0001926,chrodrimanin B,too_large,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0001988,neosartorin,too_large,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0002030,viriditoxin,too_large,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0002161,scytalone,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0002175,YWA1,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0002192,FR901512,too_large,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0002236,8-methyldiaporthin,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0002241,ywa1,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0002244,pestalotiollide B,too_large,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0002483,usnic acid,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0002513,6-methylcristazarin,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0002516,prephenalenone,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0002616,mycophenolic acid,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0002619,mycophenolic acid,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0002872,Zaragozic acid A,too_large,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0002891,arthripenoid C,too_large,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0002911,naringenin,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0002930,6'-O-demethyl-dihydroaustalide K,too_large,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0002999,(2S)-annullatin A,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0003011,Eupenifeldin,too_large,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0003093,Phomoxanthone A,too_large,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0003094,Roseopurpurin C,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0003099,"7-But-15-enyl-6,8-dihydroxy-3(R)-pent-11-enylisochroman-1-one",unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0003108,pycnidione,too_large,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0003126,kotanin,too_large,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0003144,Physodic acid,too_large,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0003150,Ascochitine,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0003151,Annullatin D,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement,2
BGC0000154,stipitatic acid,unreachable,unreachable,CHO,aromatic_cyclization|oxidative_tailoring,2
BGC0003115,orsellinoxypropanoic acid,unreachable,unreachable,CHO,aromatic_cyclization|oxidative_tailoring,2
BGC0001390,LL-Z1272beta,too_large,budget,CHO,aromatic_cyclization|prenylation,2
BGC0002234,flavoglaucin,unreachable,unreachable,CHO,aromatic_cyclization|prenylation,2
BGC0000120,patulin,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement|oxidative_tailoring,2
BGC0000160,terreic acid,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement|oxidative_tailoring,2
BGC0001720,oosporein,unreachable,unreachable,CHO,non_aromatic_ring_rearrangement|oxidative_tailoring,2
BGC0002849,Luteodienoside A,too_large,unreachable,CHO,non_aromatic_ring_rearrangement|oxidative_tailoring,2
BGC0002966,luteodienoside A,too_large,unreachable,CHO,non_aromatic_ring_rearrangement|oxidative_tailoring,2
BGC0000170,yanuthone D,too_large,unreachable,CHO,non_aromatic_ring_rearrangement|prenylation,2
BGC0001067,Fumagillin,too_large,unreachable,CHO,non_aromatic_ring_rearrangement|prenylation,2
BGC0002428,FDDP-D,too_large,unreachable,CHO,non_aromatic_ring_rearrangement|prenylation,2
BGC0002429,higginsianin B,too_large,budget,CHO,non_aromatic_ring_rearrangement|prenylation,2
BGC0003142,FDDP D,too_large,unreachable,CHO,non_aromatic_ring_rearrangement|prenylation,2
BGC0001578,duclauxin,too_large,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement|other_formula,3
BGC0002177,ustilaginoidin N,too_large,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement|other_formula,3
BGC0002243,biruloquinone,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement|other_formula,3
BGC0002511,biruloquinone,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement|other_formula,3
BGC0002709,aurofusarin,too_large,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement|other_formula,3
BGC0002883,biruloquinone,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement|other_formula,3
BGC0000004,aflatoxin G1,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement|oxidative_tailoring,3
BGC0000005,aflatoxin,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement|oxidative_tailoring,3
BGC0000006,aflatoxin B1,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement|oxidative_tailoring,3
BGC0000007,aflatoxin G1,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement|oxidative_tailoring,3
BGC0000008,aflatoxin B1,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement|oxidative_tailoring,3
BGC0000009,aflatoxin B1,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement|oxidative_tailoring,3
BGC0000010,aflatoxin,unreachable,unreachable,CHO,aromatic_cyclization|non_aromatic_ring_rearrangement|oxidative_tailoring,3
