bgc_id,name,carbons,C,H,O,base_status,formula_feasible,kappa_8000,class,soundness,budget_exhausted,n_programs_executed,n_pruned_overshoot,runtime_s
BGC0002263,spiromarmycin,19,19,24,6,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,680,230912,11.897
BGC0002265,atranorin,19,19,18,8,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,0,230912,11.255
BGC0002266,calidoustene A,21,21,28,6,too_large,True,0,coverage-limited-structural,HEURISTIC,False,1004,292352,15.967
BGC0002427,subglutinol A,27,27,38,4,too_large,True,0,coverage-limited-structural,HEURISTIC,False,19451,193664,73.749
BGC0002428,FDDP-D,29,29,42,7,too_large,True,0,coverage-limited-structural,HEURISTIC,False,5072,256000,50.823
BGC0002429,higginsianin B,27,27,40,4,too_large,True,0,coverage-limited-structural,HEURISTIC,False,34534,193664,109.450
BGC0002483,usnic acid,18,18,16,7,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,0,289024,9.114
BGC0002507,sporandol,28,28,26,8,too_large,True,0,coverage-limited-structural,HEURISTIC,False,0,224000,32.895
BGC0002511,biruloquinone,17,17,10,7,unreachable,False,,coverage-limited-formula,SOUND,,,,0.000
BGC0002513,6-methylcristazarin,14,14,14,6,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,0,159808,2.410
BGC0002515,solanapyrone A,18,18,22,4,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,8580,289024,18.136
BGC0002516,prephenalenone,14,14,12,6,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,0,159808,2.378
BGC0002525,fusarubin,15,15,14,7,unreachable,False,,coverage-limited-formula,SOUND,,,,0.000
BGC0002537,emeridone F,25,25,28,6,too_large,True,0,coverage-limited-structural,HEURISTIC,False,5,272384,25.383
BGC0002593,lecanoric acid,16,16,14,7,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,0,166144,4.537
BGC0002594,orcinol,7,7,8,2,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,60,584,0.023
BGC0002596,lecanoric acid,16,16,14,7,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,0,166144,4.533
BGC0002603,chevalone E,26,26,38,4,too_large,True,0,ambiguous-budget,HEURISTIC,True,60000,177696,158.737
BGC0002604,sartorypyrone A,28,28,40,5,too_large,True,0,coverage-limited-structural,HEURISTIC,False,15005,224000,69.397
BGC0002614,subglutinol A,27,27,38,4,too_large,True,0,coverage-limited-structural,HEURISTIC,False,19451,193664,75.102
BGC0002616,mycophenolic acid,17,17,20,6,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,20,254976,6.608
BGC0002619,mycophenolic acid,17,17,20,6,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,20,254976,6.326
BGC0002709,aurofusarin,30,30,18,12,too_large,False,,coverage-limited-formula,SOUND,,,,0.000
BGC0002731,nanangenine A,15,15,22,5,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,12220,163584,13.796
BGC0002745,verrucosidin,24,24,32,6,too_large,True,0,coverage-limited-structural,HEURISTIC,False,460,192000,23.106
BGC0002758,Azanidulone,11,11,10,4,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,25,18896,0.188
BGC0002759,brevione E,28,28,34,7,too_large,True,0,coverage-limited-structural,HEURISTIC,False,5,224000,33.155
BGC0002845,Sartorypyrone A,28,28,40,5,too_large,True,0,coverage-limited-structural,HEURISTIC,False,15005,224000,68.651
BGC0002848,CJ-20557,19,19,20,7,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,0,230912,11.104
BGC0002849,Luteodienoside A,23,23,38,13,too_large,False,,coverage-limited-formula,SOUND,,,,0.000
BGC0002852,"3,6-dialkyl-α-pyrone",10,10,12,3,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,464,7920,0.309
BGC0002864,Mollicellin Z ,21,21,22,6,too_large,True,0,coverage-limited-structural,HEURISTIC,False,0,292352,14.685
BGC0002872,Zaragozic acid A,35,35,46,14,too_large,True,0,coverage-limited-structural,HEURISTIC,False,0,256000,60.605
BGC0002874,cristazarin,13,13,12,6,unreachable,False,,coverage-limited-formula,SOUND,,,,0.000
BGC0002877,Cordypyrone A,22,22,28,3,too_large,True,0,coverage-limited-structural,HEURISTIC,False,31115,287840,66.907
BGC0002883,biruloquinone,17,17,10,7,unreachable,False,,coverage-limited-formula,SOUND,,,,0.000
BGC0002891,arthripenoid C,30,30,44,9,too_large,True,0,coverage-limited-structural,HEURISTIC,False,54,192000,42.817
BGC0002911,naringenin,15,15,12,5,unreachable,True,0,coverage-limited-structural,HEURISTIC,False,0,163584,3.419
BGC0002930,6'-O-demethyl-dihydroaustalide K,24,24,32,5,too_large,True,0,coverage-limited-structural,HEURISTIC,False,1880,192000,25.543
